Dose Level,Method,Iteration,Objective,RelativeChange,RelativeError,StepSize
25%,TV-GD,25,305.2408538010287,0.07540330451794534,,
25%,TV-GD,26,306.3655308415766,0.07606904792785497,,
25%,TV-GD,27,308.30708921001406,0.07660103263511873,,
25%,TV-GD,28,309.234105945538,0.07721807136143158,,
25%,TV-GD,29,311.0734904358246,0.07789237924642367,,
25%,TV-GD,30,312.274554806592,0.0785439073834591,,
25%,TV-GD,31,314.2811505754566,0.07919382935458036,,
25%,TV-GD,32,315.406539629591,0.07970930651161438,,
25%,TV-GD,33,316.9434050514708,0.08026254856443285,,
25%,TV-GD,34,318.18495269300246,0.08077873039748723,,
25%,TV-GD,35,319.7682347580112,0.08127702489911001,,
25%,TV-GD,36,320.9401545236173,0.08191889613135989,,
25%,TV-GD,37,322.7425382957447,0.08246210524023882,,
25%,TV-GD,38,323.755389884413,0.08295747626456643,,
25%,TV-GD,39,325.4204822376479,0.08351192470747053,,
25%,TV-GD,40,326.72611149747286,0.08402157600532117,,
25%,TV-GD,41,327.966161500348,0.08461667710648804,,
25%,TV-GD,42,329.5330494252633,0.08509824813401234,,
25%,TV-GD,43,330.85616152033265,0.08541945443041109,,
25%,TV-GD,44,331.69046246958396,0.08582073438398168,,
25%,TV-GD,45,332.960106757203,0.086375934064866,,
25%,TV-GD,46,334.25254303118004,0.08688430020456753,,
25%,TV-GD,47,335.5674603926843,0.08720943085268035,,
25%,TV-GD,48,336.4001492983583,0.08751458732414215,,
25%,TV-GD,49,337.5248578626755,0.08796049371475388,,
25%,TV-GD,50,338.44844176218317,0.08837186407355072,,
25%,TV-GD,51,339.76951413841846,0.08864600847550864,,
25%,TV-GD,52,340.52527638009224,0.0888787284250136,,
25%,TV-GD,53,341.28456849967256,0.08937671150677211,,
25%,TV-GD,54,342.5713412527036,0.08979940499498089,,
25%,TV-GD,55,343.57707776650795,0.09003999641469852,,
25%,TV-GD,56,344.272689325114,0.09027173311484205,,
25%,TV-GD,57,345.17349743800855,0.09058469612064028,,
25%,TV-GD,58,345.9051231684897,0.09091293799266878,,
25%,TV-GD,59,347.0311078253252,0.09126070490763075,,
25%,TV-GD,60,347.8351573903621,0.09145286316714969,,
25%,TV-GD,61,348.4473416717961,0.09177263856067622,,
25%,TV-GD,62,349.3596285433217,0.09208614661502845,,
25%,TV-GD,63,350.2232409671068,0.09225051628151353,,
25%,TV-GD,64,350.8837009558466,0.0925575126801099,,
25%,TV-GD,65,351.6760196323326,0.09286554562814685,,
25%,TV-GD,66,352.32107824656805,0.09311656048089922,,
25%,TV-GD,67,353.32194975859704,0.09326820478392703,,
25%,TV-GD,68,353.6364151276378,0.09339358429978105,,
25%,TV-GD,69,354.12872439752596,0.09374499952541838,,
25%,TV-GD,70,355.2747947942719,0.09397792194944907,,
25%,TV-GD,71,355.58757865329665,0.09414839656594591,,
25%,TV-GD,72,356.3154440483761,0.0943214886920555,,
25%,TV-GD,73,356.9190753580142,0.0945369997639392,,
25%,TV-GD,74,357.34979260084293,0.09479746898536694,,
25%,TV-GD,75,358.1040016396219,0.09495037025552276,,
25%,TV-GD,76,358.5943889875004,0.09498377425335075,,
25%,TV-GD,77,358.80311287203136,0.09521525223697618,,
25%,TV-GD,78,359.28181412106755,0.09543972149456474,,
25%,TV-GD,79,359.91688562770867,0.09560592469394327,,
25%,TV-GD,80,360.4990379443407,0.09556569597080276,,
25%,TV-GD,81,360.3696925961374,0.09567381229933797,,
25%,TV-GD,82,360.8471366413319,0.0959515374935574,,
